variable,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,breaks,is_special_values,variable_name
total_exposure_CC,"[520000.0,800000.0)",12174,0.059632623071271124,11759,415,0.03408904222112699,0.1288934978304593,0.0010530314041810448,0.0015461026089167787,800000.0,False,total_exposure_CC
total_exposure_CC,"[800000.0,inf)",10593,0.051888317413666424,10299,294,0.027754177286887567,-0.08323315336394312,0.00034574723574007837,0.0015461026089167787,inf,False,total_exposure_CC
employment_years,"[-inf,7.0)",110687,0.5421846681361744,107737,2950,0.026651729652082,-0.12489874027822485,0.007979235498120475,0.017421801931578794,7.0,False,employment_years
employment_years,"[7.0,9.0)",16537,0.08100416360519226,16026,511,0.030900405152083206,0.027391069288865352,6.156360446269009e-05,0.017421801931578794,9.0,False,employment_years
employment_years,"[9.0,inf)",76926,0.37681116825863337,74244,2682,0.03486467514234459,0.15219497994581152,0.009381002828995627,0.017421801931578794,inf,False,employment_years
document_count,"[-inf,1.0)",18616,0.0911878520695567,18239,377,0.020251396648044692,-0.40608308869281007,0.01248390348862058,0.013507639424019708,1.0,False,document_count
document_count,"[1.0,inf)",185534,0.9088121479304433,179768,5766,0.03107786173962724,0.033300629969756086,0.0010237359353991275,0.013507639424019708,inf,False,document_count
utilization_AL,"[-inf,inf)",204150,1.0,198007,6143,0.03009061964241979,0.0,0.0,0.0,inf,False,utilization_AL
max_prev_term,"[-inf,8.0)",17984,0.08809208915013471,17638,346,0.01923932384341637,-0.45838300796722503,0.015013596210976839,0.02736328382477607,8.0,False,max_prev_term
max_prev_term,"[8.0,12.0)",19107,0.0935929463629684,18540,567,0.02967498822421102,-0.014337373968917004,1.9109917454637536e-05,0.02736328382477607,12.0,False,max_prev_term
max_prev_term,"[12.0,14.0)",52984,0.25953465589027674,51589,1395,0.026328703004680657,-0.13742489477071507,0.0045973508425726966,0.02736328382477607,14.0,False,max_prev_term
max_prev_term,"[14.0,inf)",114075,0.5587803085966201,110240,3835,0.03361823361823362,0.11449878897704789,0.007733226853771897,0.02736328382477607,inf,False,max_prev_term
active_al,"[-inf,inf)",204150,1.0,198007,6143,0.03009061964241979,0.0,0.0,0.0,inf,False,active_al
PL_max_dpd_l1m,"[-inf,inf)",204150,1.0,198007,6143,0.03009061964241979,0.0,0.0,0.0,inf,False,PL_max_dpd_l1m
CC_max_dpd_l1m,"[-inf,inf)",204150,1.0,198007,6143,0.03009061964241979,0.0,0.0,0.0,inf,False,CC_max_dpd_l1m
total_exposure_PL,"[-inf,100000.0)",28026,0.13728141072740632,27275,751,0.0267965460643688,-0.11933099751395987,0.0018489961605058685,0.006060060153147064,100000.0,False,total_exposure_PL
total_exposure_PL,"[100000.0,400000.0)",41046,0.20105804555473916,39764,1282,0.031233250499439653,0.038448539571756556,0.000302652985433483,0.006060060153147064,400000.0,False,total_exposure_PL
total_exposure_PL,"[400000.0,600000.0)",17020,0.08337007102620622,16442,578,0.033960047003525264,0.12496871438347579,0.0013813250291733483,0.006060060153147064,600000.0,False,total_exposure_PL
total_exposure_PL,"[600000.0,700000.0)",36147,0.177060984570169,35104,1043,0.028854400088527403,-0.043224746651007395,0.0003241818150071446,0.006060060153147064,700000.0,False,total_exposure_PL
total_exposure_PL,"[700000.0,1500000.0)",37025,0.1813617438158217,35866,1159,0.03130317353139771,0.040756954254558955,0.00030710448790802994,0.006060060153147064,1500000.0,False,total_exposure_PL
total_exposure_PL,"[1500000.0,2100000.0)",14667,0.07184423218221896,14176,491,0.03347651189745687,0.1101276163728353,0.0009179076522753607,0.006060060153147064,2100000.0,False,total_exposure_PL
total_exposure_PL,"[2100000.0,inf)",30219,0.14802351212343864,29380,839,0.027763989543002746,-0.08286958183748525,0.0009778920228438294,0.006060060153147064,inf,False,total_exposure_PL
employment_age_ratio,"[-inf,0.05)",36141,0.17703159441587069,35105,1036,0.028665504551617278,-0.049987265208743796,0.0004321134718310265,0.01571448726436589,0.05,False,employment_age_ratio
employment_age_ratio,"[0.05,0.16)",67064,0.32850355131031106,65338,1726,0.02573660980555887,-0.16077804249852407,0.007879414020363113,0.01571448726436589,0.16,False,employment_age_ratio
employment_age_ratio,"[0.16,0.27)",35035,0.1716140093068822,33930,1105,0.03153988868274583,0.04853491759675425,0.00041361259810265784,0.01571448726436589,0.27,False,employment_age_ratio
employment_age_ratio,"[0.27,inf)",65910,0.32285084496693606,63634,2276,0.034531937490517375,0.14226075898918306,0.0069893471740690915,0.01571448726436589,inf,False,employment_age_ratio
active_pct_tradelines,"[-inf,0.14)",35144,0.17214793044330148,34138,1006,0.028625085363077625,-0.05143990024141681,0.00044466773085907843,0.006298565037554127,0.14,False,active_pct_tradelines
active_pct_tradelines,"[0.14,0.36)",50334,0.24655400440852315,48671,1663,0.03303929749274844,0.0965289914617736,0.0024045558350400836,0.006298565037554127,0.36,False,active_pct_tradelines
active_pct_tradelines,"[0.36,0.38)",32819,0.16075924565270636,31869,950,0.02894664675949907,-0.03993788343035959,0.0002516601458557741,0.006298565037554127,0.38,False,active_pct_tradelines
active_pct_tradelines,"[0.38,0.66)",47203,0.231217242223855,45719,1484,0.03143867974493147,0.045216339746923864,0.0004829059818454865,0.006298565037554127,0.66,False,active_pct_tradelines
active_pct_tradelines,"[0.66,0.86)",16988,0.08321332353661523,16509,479,0.028196373910995998,-0.06697120689377632,0.00036170542301914893,0.006298565037554127,0.86,False,active_pct_tradelines
active_pct_tradelines,"[0.86,inf)",21662,0.10610825373499877,21101,561,0.02589788569845813,-0.15436564476018366,0.002353069920934556,0.006298565037554127,inf,False,active_pct_tradelines
total_credit_exposure,"[-inf,200000.0)",27645,0.13541513592946364,26866,779,0.028178694158075602,-0.06761661832903328,0.0005998315819849712,0.008058600462795948,200000.0,False,total_credit_exposure
total_credit_exposure,"[200000.0,900000.0)",56669,0.27758510898848887,54859,1810,0.03193986129982883,0.061549749574870485,0.0010825646274194465,0.008058600462795948,900000.0,False,total_credit_exposure
total_credit_exposure,"[900000.0,1000000.0)",34551,0.16924320352681851,33572,979,0.028334925183062718,-0.06192686124903077,0.0006304881866478477,0.008058600462795948,1000000.0,False,total_credit_exposure
total_credit_exposure,"[1000000.0,1300000.0)",13160,0.0644624050942934,12700,460,0.034954407294832825,0.1548583784596349,0.0016636176818761656,0.008058600462795948,1300000.0,False,total_credit_exposure
total_credit_exposure,"[1300000.0,1600000.0)",10812,0.05296105804555474,10508,304,0.028116907140214576,-0.06987528797603192,0.0002502660072839838,0.008058600462795948,1600000.0,False,total_credit_exposure
total_credit_exposure,"[1600000.0,2300000.0)",17841,0.08739162380602498,17237,604,0.03385460456252452,0.12174984420360055,0.0013722201972878327,0.008058600462795948,2300000.0,False,total_credit_exposure
total_credit_exposure,"[2300000.0,5000000.0)",28101,0.1376487876561352,27281,820,0.02918045621152272,-0.031652266495570985,0.00013587335395082284,0.008058600462795948,5000000.0,False,total_credit_exposure
total_credit_exposure,"[5000000.0,inf)",15371,0.07529267695322067,14984,387,0.02517728189447661,-0.18332438967096565,0.002323738826344878,0.008058600462795948,inf,False,total_credit_exposure
age_years,"[-inf,26.0)",10606,0.05195199608131276,10517,89,0.008391476522722987,-1.2991227433647115,0.05018023814647258,0.060604633747677834,26.0,False,age_years
age_years,"[26.0,29.0)",13743,0.06731814842027921,13411,332,0.02415775303791021,-0.2257064143712746,0.003088718695499099,0.060604633747677834,29.0,False,age_years
age_years,"[29.0,40.0)",59796,0.2929022777369581,58071,1725,0.02884808348384507,-0.04345018792501822,0.0005418276369680164,0.060604633747677834,40.0,False,age_years
age_years,"[40.0,inf)",120005,0.5878275777614499,116008,3997,0.03330694554393567,0.10487408690676936,0.006793849268738142,0.060604633747677834,inf,False,age_years
owns_house,"[-inf,1.0)",59876,0.2932941464609356,57946,1930,0.032233282116373836,0.07099762195811712,0.0015287577468001425,0.002194411878647668,1.0,False,owns_house
owns_house,"[1.0,inf)",144274,0.7067058535390645,140061,4213,0.02920138070615634,-0.030913897579056798,0.0006656541318475252,0.002194411878647668,inf,False,owns_house
enquiry_L1M,"[-inf,1.0)",168418,0.8249718344354641,163321,5097,0.03026398603474688,0.0059237033996394585,2.9029198686454573e-05,0.00016807455671431477,1.0,False,enquiry_L1M
enquiry_L1M,"[1.0,inf)",35732,0.17502816556453588,34686,1046,0.02927348035374454,-0.028373620262485896,0.0001390453580278602,0.00016807455671431477,inf,False,enquiry_L1M
annuity_income_ratio,"[-inf,0.11000000000000001)",45966,0.22515797207935342,44822,1144,0.024887960666579646,-0.19517903593261343,0.007833999978422003,0.011461294105345897,0.11000000000000001,False,annuity_income_ratio
annuity_income_ratio,"[0.11000000000000001,0.13000000000000003)",20106,0.09848640705363704,19521,585,0.02909579230080573,-0.034645079508060485,0.0001163063103246369,0.011461294105345897,0.13000000000000003,False,annuity_income_ratio
annuity_income_ratio,"[0.13000000000000003,0.23000000000000004)",87304,0.4276463384766103,84583,2721,0.0311669568404655,0.03625532043086348,0.0005717979116005482,0.011461294105345897,0.23000000000000004,False,annuity_income_ratio
annuity_income_ratio,"[0.23000000000000004,inf)",50774,0.24870928239039922,49081,1693,0.033343837397093,0.1060192700409043,0.0029391899049987093,0.011461294105345897,inf,False,annuity_income_ratio
total_credit_enquiries,"[-inf,1.0)",56392,0.27622826353171687,54766,1626,0.028833877145694426,-0.04395739089769264,0.0005228583288770795,0.0028901129154380997,1.0,False,total_credit_enquiries
total_credit_enquiries,"[1.0,2.0)",36487,0.17872642664707322,35417,1070,0.02932551319648094,-0.026544120959840323,0.00012437030242504042,0.0028901129154380997,2.0,False,total_credit_enquiries
total_credit_enquiries,"[2.0,3.0)",35311,0.17296595640460447,34223,1088,0.030811928294299226,0.02443237720510586,0.00010444441173366759,0.0028901129154380997,3.0,False,total_credit_enquiries
total_credit_enquiries,"[3.0,4.0)",27139,0.13293656625030614,26253,886,0.03264674453738163,0.08417056482431715,0.0009799963941383779,0.0028901129154380997,4.0,False,total_credit_enquiries
total_credit_enquiries,"[4.0,7.0)",38368,0.18794024001959345,37252,1116,0.02908673894912427,-0.034965609277115214,0.00022603760065210884,0.0028901129154380997,7.0,False,total_credit_enquiries
total_credit_enquiries,"[7.0,inf)",10453,0.05120254714670586,10096,357,0.034152874772792496,0.13083035842182164,0.0009324058776118255,0.0028901129154380997,inf,False,total_credit_enquiries
CC_cnt_30dpd_l12m,"[-inf,inf)",204150,1.0,198007,6143,0.03009061964241979,0.0,0.0,0.0,inf,False,CC_cnt_30dpd_l12m
avg_debt_per_tradeline,"[-inf,10000.0)",62705,0.3071516042125888,60819,1886,0.03007734630412248,-0.00045489451972386075,6.354499727904711e-08,0.00553468152817697,10000.0,False,avg_debt_per_tradeline
avg_debt_per_tradeline,"[10000.0,160000.0)",107651,0.5273132500612295,104269,3382,0.03141633612321298,0.044482313630290475,0.0010654778279665913,0.00553468152817697,160000.0,False,avg_debt_per_tradeline
avg_debt_per_tradeline,"[160000.0,380000.0)",20961,0.10267450404114621,20389,572,0.027288774390534804,-0.10062266591399947,0.0009918369595209025,0.00553468152817697,380000.0,False,avg_debt_per_tradeline
avg_debt_per_tradeline,"[380000.0,inf)",12833,0.06286064168503551,12530,303,0.023611002883191772,-0.24915908095756795,0.003477303195692197,0.00553468152817697,inf,False,avg_debt_per_tradeline
goods_income_ratio,"[-inf,1.4000000000000004)",30075,0.1473181484202792,29279,796,0.026467165419783875,-0.1320374672189963,0.0024149821499632714,0.006417069458250935,1.4000000000000004,False,goods_income_ratio
goods_income_ratio,"[1.4000000000000004,2.8000000000000007)",66979,0.328087190791085,64949,2030,0.030308006987264664,0.0074226079376054415,1.8139184749392322e-05,0.006417069458250935,2.8000000000000007,False,goods_income_ratio
goods_income_ratio,"[2.8000000000000007,4.400000000000002)",52963,0.25943179035023267,51453,1510,0.0285104695730982,-0.05556995736804379,0.0007805474338319852,0.006417069458250935,4.400000000000002,False,goods_income_ratio
goods_income_ratio,"[4.400000000000002,inf)",54133,0.26516287043840314,52326,1807,0.03338074741839543,0.10716379356036486,0.003203400689706285,0.006417069458250935,inf,False,goods_income_ratio
total_closed_tradelines,"[-inf,2.0)",56672,0.277599804065638,55151,1521,0.026838650479954828,-0.11771770320106334,0.0036412044365590323,0.0063196515673886785,2.0,False,total_closed_tradelines
total_closed_tradelines,"[2.0,5.0)",97316,0.4766887092823904,94354,2962,0.030436927124008386,0.011800211016368498,6.674584299634328e-05,0.0063196515673886785,5.0,False,total_closed_tradelines
total_closed_tradelines,"[5.0,6.0)",13207,0.06469262796963017,12754,453,0.03429999242825774,0.13528106003099388,0.0012622543892290223,0.0063196515673886785,6.0,False,total_closed_tradelines
total_closed_tradelines,"[6.0,inf)",36955,0.1810188586823414,35748,1207,0.032661344878906776,0.08463278001942576,0.0013494468986042798,0.0063196515673886785,inf,False,total_closed_tradelines
days_since_last_application,"[-inf,-1650.0)",11406,0.05587068332108744,10851,555,0.0486586007364545,0.4999447545494038,0.01777085788080312,0.03356296956779707,-1650.0,False,days_since_last_application
